"DISTRICT","SD","county_id","TOTHH","TOTPOP","TOTACRE","RESACRE","CIACRE","TOTEMP","AGE0519","RETEMPN","FPSEMPN","HEREMPN","OTHEMPN","AGREMPN","MWTEMPN","PRKCST","OPRKCST","area_type","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","household_density","employment_density","density_index","is_cbd","zone_id"
40,4,10,24250,53638,2981.96,745.49,894.588,29100,9000,5820,4365,6402,1455,2910,8148,15,10,3,6340,1471,630,1,3,14.785882134874074,17.743058561848887,8.065026619022222,false,38
40,4,10,25190,39094,1724.83,431.208,517.449,30228,6560,6046,4534,6650,1511,3023,8464,15,10,3,4621,1528,655,1,3,26.553327493498706,31.863992992198447,14.483633178272022,false,39
7,1,10,5795,7092,330.62,82.655,99.186,6954,1190,1391,1043,1530,348,695,1947,15,10,3,838,351,151,1,3,31.868500503186848,38.242200603824216,17.382818456283733,false,40
34,3,10,30889,46625,2353.63,588.408,706.089,37067,7824,7413,5560,8155,1853,3707,10379,15,10,3,5511,1873,803,1,3,23.861777972447985,28.63428806710251,13.015547179126633,false,41
1,1,10,984,3278,52.32,7.848,23.544,2460,550,443,615,541,295,74,492,30,20,2,387,124,53,1,5,31.345565749235476,78.36391437308869,22.38968982088248,false,42
8,1,10,2749,6909,108.74,16.311,48.933,6872,1159,1237,1718,1512,825,206,1374,30,20,2,817,347,149,1,5,42.13414260315125,105.32769296793575,30.09519051749874,false,43
40,4,10,14212,40277,3904.03,1366.41,702.725,11370,6758,2274,1706,2501,568,1137,3184,8,5,4,4761,575,246,1,2,6.868570682918223,5.495049863831987,3.0527577462583144,false,44
7,1,10,7163,17181,306.14,45.921,137.763,17908,2883,3223,4477,3940,2149,537,3582,30,20,2,2031,905,388,1,5,38.99631976655561,97.49352148254611,27.8547363240189,false,45
1,1,10,1139,3221,56.66,8.499,25.497,2848,540,513,712,627,341,85,570,30,20,2,381,144,62,1,5,33.50394164019296,83.77456171314272,23.932587356726753,false,46
1,1,10,703,2243,38.22,5.733,17.199,1758,376,316,440,387,210,53,352,30,20,2,265,89,38,1,5,30.65585208442351,76.66143380429094,21.89881672670318,false,47
36,4,10,38370,82646,2636.93,659.232,791.079,46044,13868,9209,6907,10130,2302,4604,12892,15,10,3,9769,2327,997,1,3,26.456394525036355,31.747673430043626,14.430760650019831,false,48
3,1,10,4158,11365,9337.55,5602.53,373.502,1247,1907,249,187,274,63,125,349,0,0,6,1343,63,27,1,1,0.6957794068037119,0.208666887995245,0.14518612354890814,false,49
42,4,10,34505,80731,3982.34,995.585,1194.702,41406,13547,8281,6211,9109,2070,4141,11594,15,10,3,9542,2093,897,1,3,15.753643244013226,18.90437189281587,8.592896314916306,false,50
31,3,10,10323,26280,422.47,63.37,190.112,25808,4410,4645,6452,5678,3097,774,5162,30,20,2,3106,1304,559,1,5,40.72478519184794,101.81393550626869,29.08929330024665,false,51
15,2,10,11878,17361,424.15,63.622,190.868,29695,2913,5345,7424,6533,3563,891,5939,30,20,2,2052,1501,643,1,5,46.67373963613501,116.68434909033753,33.33838545438215,false,52
28,3,10,17785,38841,607.03,91.054,273.164,44462,6518,8003,11116,9782,5335,1334,8892,30,20,2,4591,2247,963,1,5,48.83064538271036,122.07524065257621,34.87892034967256,false,53
35,3,10,17862,35277,810.48,121.572,364.716,44655,5919,8038,11164,9824,5358,1340,8931,30,20,2,4170,2257,967,1,5,36.73131971177574,91.82829927943935,26.236656936982673,false,54
8,1,10,2601,6932,99.95,14.992,44.978,6502,1163,1170,1626,1430,781,195,1300,30,20,2,819,329,141,1,5,43.37168584292146,108.42087710521928,30.979094952287745,false,55
1,1,10,999,3260,37.18,5.577,16.731,2498,547,450,624,550,299,75,500,30,20,2,385,126,54,1,5,44.78214093598709,111.97776582391967,31.989072936258438,false,56
8,1,10,5655,9491,143.45,21.518,64.552,14138,1593,2545,3534,3110,1697,424,2828,30,20,2,1122,714,306,1,5,65.70233530846984,164.261647496224,46.93071371652335,false,57
37,4,10,11593,14551,247.83,37.174,111.524,28982,2442,5217,7246,6376,3478,869,5796,30,20,2,1720,1465,628,1,5,77.96338888216384,194.9051096854026,55.68786042101965,false,58
19,2,10,4232,11860,1033.9,361.865,186.102,3386,1990,677,508,745,169,339,948,8,5,4,1402,171,73,1,2,7.723092813983324,6.179204222152064,3.43271098295452,false,59
19,2,10,4761,13758,1263.07,442.074,227.353,3809,2309,762,571,838,190,381,1067,8,5,4,1626,193,83,1,2,7.1120525464315,5.689940800117115,3.1610044515003013,false,60
25,3,10,13718,24708,768.98,192.245,230.694,16462,4146,3292,2469,3622,824,1646,4609,15,10,3,2920,832,357,1,3,32.434937425964506,38.92287067402155,17.69197945348667,false,61
12,2,10,32674,48277,1843.53,460.882,553.059,39209,8101,7842,5881,8626,1960,3921,10979,15,10,3,5706,1982,849,1,3,32.22475469479979,38.66990288389561,17.577179678483162,false,62
1,1,10,1580,4699,120.64,30.16,36.192,1896,788,379,284,417,95,190,531,15,10,3,555,96,41,1,3,23.812394502049674,28.57487340245961,12.988578819299823,false,63
2,1,10,2434,7422,89.1,13.365,40.095,6085,1245,1095,1521,1339,730,183,1217,30,20,2,877,308,132,1,5,45.52936775158997,113.82341937897493,32.52097696542141,false,64
1,1,10,1202,3963,379.58,132.853,68.324,962,665,192,144,212,49,96,269,8,5,4,468,49,21,1,2,5.974838077911491,4.781858761190394,2.6560971492379175,false,65
1,1,10,1191,2409,46.28,6.942,20.826,2978,404,536,744,655,358,89,596,30,20,2,285,150,64,1,5,42.89109766637856,107.24575050417747,30.637968061999366,false,66
20,2,10,12087,31557,571.71,85.756,257.27,30218,5295,5439,7554,6648,3626,907,6044,30,20,2,3730,1527,655,1,5,35.2363960749331,88.09244780279047,25.168973326848562,false,67
6,1,10,47720,79048,2908.11,727.028,872.433,57264,13264,11453,8590,12598,2863,5726,16034,15,10,3,9343,2894,1240,1,3,29.835050682698736,35.802060819238484,16.273664008744763,false,68
46,5,10,23595,56670,6635.27,2322.344,1194.349,18876,9509,3775,2831,4153,944,1888,5285,8,5,4,6698,954,409,1,2,6.709428431768141,5.367542745414513,2.9819681918969514,false,69
42,4,10,42824,85245,2994.39,748.598,898.317,51389,14304,10278,7708,11306,2569,5139,14389,15,10,3,10076,2597,1113,1,3,26.00255629464787,31.20318899275312,14.183237615038896,false,70
18,2,10,13299,24344,559.52,83.928,251.784,33248,4085,5985,8312,7315,3989,997,6650,30,20,2,2877,1680,720,1,5,39.61431226765799,99.03727004098752,28.29605891411032,false,71
15,2,10,12980,17198,341.97,51.296,153.886,32450,2886,5841,8112,7139,3894,974,6490,30,20,2,2033,1640,703,1,5,63.260909826398034,158.15227456599507,45.18636416171288,false,72
15,2,10,8612,15239,353.61,53.042,159.124,21530,2557,3875,5382,4737,2584,646,4306,30,20,2,1801,1088,466,1,5,40.5908581016751,101.47714525418776,28.993470072625072,false,73
37,4,10,16151,15600,610.93,91.639,274.918,40378,2618,7268,10094,8883,4846,1211,8076,30,20,2,1844,2041,875,1,5,44.06136017045098,110.15476447046434,31.47251147132392,false,74
8,1,10,2207,6927,112.61,16.892,50.674,5518,1162,993,1380,1214,661,166,1104,30,20,2,819,279,120,1,5,32.66435781310126,81.66829470443714,23.332288208762815,false,75
17,2,10,25609,17606,1510.76,377.69,453.228,30731,2954,6146,4610,6761,1536,3073,8605,15,10,3,2081,1553,666,1,3,30.820129062073512,36.98439557212625,16.811029219144146,false,76
27,3,10,34724,69485,2558.34,639.585,767.502,41669,11660,8334,6250,9167,2084,4167,11667,15,10,3,8213,2106,903,1,3,24.677933915955446,29.613662836768444,13.460720594085158,false,77
36,4,10,27550,63093,2868.58,717.145,860.574,33060,10587,6612,4959,7273,1653,3306,9257,15,10,3,7458,1671,716,1,3,17.461918123569532,20.954301748283438,9.524682612856108,false,78
36,4,10,10034,23520,3606.26,1262.191,649.127,8027,3947,1605,1204,1766,401,803,2248,8,5,4,2780,406,174,1,2,5.249780517946255,4.199719774522084,2.3332034891509097,false,79
28,3,10,10489,20463,443.49,66.524,199.57,26222,3434,4720,6556,5769,3146,787,5244,30,20,2,2419,1325,568,1,5,39.41840101618225,98.54412350522747,28.15584733312443,false,80
15,2,10,8071,15561,278.97,41.846,125.537,20178,2611,3632,5044,4439,2422,605,4036,30,20,2,1839,1020,437,1,5,48.21875578762479,120.5498766302432,34.44221226530826,false,81
22,2,10,20754,37905,1526.22,381.555,457.866,24905,6360,4981,3736,5479,1246,2490,6973,15,10,3,4480,1259,539,1,3,24.724184884581156,29.66926012096433,13.485968254900321,false,82
20,2,10,4335,16817,338.41,84.602,101.523,5202,2822,1040,780,1144,261,520,1457,15,10,3,1988,263,113,1,3,23.290799194089992,27.948959032907993,12.70407228768545,false,83
1,1,10,828,1906,83.64,20.91,25.092,994,320,199,149,219,50,99,278,15,10,3,225,50,22,1,3,17.999217425329334,21.60775618451372,9.81955110909844,false,84
37,4,10,10874,9057,302.64,45.396,136.188,27185,1520,4893,6796,5981,3262,816,5437,30,20,2,1071,1374,589,1,5,59.88413076041942,149.71032690104855,42.774379114585294,false,85
1,1,10,2035,6687,101.81,15.272,45.814,5088,1122,916,1272,1119,610,153,1018,30,20,2,790,257,110,1,5,33.31368889761975,83.2924074255967,23.79616020091103,false,86
1,1,10,2109,4520,110.72,16.608,49.824,5272,758,949,1318,1160,633,158,1054,30,20,2,534,266,114,1,5,31.746748554913292,79.35934489402698,22.67563451856156,false,87
3,1,10,2862,9554,6405.96,3843.576,256.238,859,1603,172,129,189,42,86,241,0,0,6,1129,43,19,1,1,0.6980804495033189,0.20952170025274316,0.1462630026931346,false,88
29,3,10,44835,81634,1599.64,239.946,719.838,112088,13698,20176,28022,24659,13450,3363,22418,30,20,2,9649,5665,2428,1,5,46.7136355680028,116.7846098705542,33.366925075013214,false,89
41,4,10,39222,76457,4167.77,1041.943,1250.331,47066,12829,9413,7060,10355,2353,4707,13178,15,10,3,9037,2379,1019,1,3,17.110519946568342,20.53244943667293,9.332974826223642,false,90
42,4,10,22867,38556,3740.47,1309.164,673.285,18294,6470,3659,2744,4025,915,1829,5122,8,5,4,4557,925,396,1,2,11.534722961347303,9.227980139716077,5.12660581265974,false,91
33,3,10,24434,23096,969.22,145.383,436.149,61085,3876,10995,15271,13439,7330,1833,12217,30,20,2,2730,3087,1323,1,5,42.016604417297756,105.04151104324438,30.01186029806983,false,92
28,3,10,13981,19556,737.29,184.322,221.187,16777,3281,3355,2517,3691,838,1678,4698,15,10,3,2312,848,363,1,3,34.477656476181785,41.37269456411571,18.80589253855588,false,93
15,2,10,7968,21201,253.76,38.064,114.192,19920,3558,3586,4980,4382,2390,598,3984,30,20,2,2506,1007,431,1,5,52.33291298865069,130.83228247162674,37.38065213475049,false,94
1,1,10,970,2879,125.01,31.252,37.503,1164,483,233,175,256,58,116,326,15,10,3,340,59,25,1,3,14.1080648680096,16.92967784161152,7.6953081098234195,false,95
11,2,10,2759,8143,5655.95,3393.57,226.238,828,1366,166,124,182,41,83,232,0,0,6,963,42,18,1,1,0.7621951219512195,0.22874141390924602,0.17434558986985216,false,96
11,2,10,16718,29791,6730.86,2355.801,1211.555,13374,4999,2675,2006,2942,669,1337,3745,8,5,4,3521,676,290,1,2,4.686383977377083,3.748995054040023,2.0828027154539774,false,97
37,4,10,10396,32744,612.46,91.869,275.607,25990,5494,4678,6498,5718,3118,780,5198,30,20,2,3870,1314,563,1,5,28.290282902829027,70.72570725707257,20.20734493059216,false,98
20,2,10,14691,32328,977.93,244.482,293.379,17629,5425,3526,2644,3878,882,1763,4936,15,10,3,3821,891,382,1,3,27.313748347621413,32.776126173862764,14.898331362011692,false,99
46,5,10,9087,26064,9730.28,4865.14,778.422,4544,4374,909,682,1000,227,454,1272,0,0,5,3081,230,98,1,1,1.6101533038885725,0.8051652484725073,0.536757142753259,false,100
