node_id,x_utm,y_utm,lon,lat,num_signals
2171867637,666772.585,1523305.924,100.5426626,13.7743545,3
2171867691,666734.756,1523319.976,100.5423136,13.7744837,3
2171891592,666684.263,1523007.002,100.5418281,13.7716577,2
2171924605,666982.941,1523464.042,100.5446173,13.7757715,3
2171924675,666484.035,1523370.71,100.539998,13.7749568,3
2172164604,666402.063,1522756.371,100.5392036,13.7694086,3
2172164611,666378.34,1522718.869,100.538982,13.769071,2
2172164667,666397.86,1522706.791,100.5391618,13.7689607,2
2172164991,666365.442,1522726.907,100.5388632,13.7691444,3
2173886844,666971.33,1522523.561,100.5444541,13.7672713,3
2173887049,666936.542,1522540.442,100.5441334,13.7674259,3
2173949357,666283.405,1522825.609,100.5381104,13.7700413,3
2173949410,666339.974,1522925.032,100.5386394,13.7709367,3
2173949463,666338.856,1522793.792,100.5386213,13.7697505,3
2175341718,667150.582,1522649.573,100.5461192,13.7683999,3
2177233948,666421.971,1522639.647,100.5393808,13.7683524,3
2177233950,666391.41,1522655.162,100.5390991,13.7684944,3
2177233951,666436.373,1522631.519,100.5395135,13.7682781,3
2177233953,666353.296,1522673.062,100.5387477,13.7686584,3
2177233960,666308.105,1522662.971,100.5383292,13.7685698,2
2177233967,666349.374,1522736.806,100.5387152,13.7692348,2
2177233972,666277.185,1522727.781,100.5380471,13.7691574,2
2177233977,666413.155,1522587.704,100.5392962,13.7678834,3
2177233983,666367.735,1522613.501,100.5388777,13.7681192,3
2177233986,666283.944,1522739.64,100.5381103,13.7692642,2
2177233995,666339.758,1522681.417,100.538623,13.7687347,3
2177234007,666407.845,1522646.991,100.5392506,13.7684196,4
2177234009,666430.095,1522686.619,100.5394587,13.7687765,2
2177234018,666372.074,1522662.008,100.5389207,13.7685574,2
2178593210,666096.597,1522993.674,100.5363928,13.7715712,3
2178593223,666319.589,1523045.326,100.538458,13.7720252,3
2178593226,666416.727,1523216.012,100.5393664,13.7735624,3
2178593228,666429.441,1523238.364,100.5394853,13.7737637,3
2178593257,666148.8,1522980.908,100.5368748,13.7714528,3
2178593300,666123.108,1522936.756,100.5366346,13.7710552,3
2178593301,666348.429,1523096.003,100.5387277,13.7724816,3
2178593305,666292.663,1522998.024,100.5382062,13.7715992,3
2178593318,666256.475,1522936.292,100.5378679,13.7710433,4
2178593350,666402.676,1523191.318,100.539235,13.77334,3
2178593357,666389.812,1523168.721,100.5391147,13.7731365,3
2178593358,666140.842,1522968.887,100.5368005,13.7713446,3
2178816808,666161.333,1523475.153,100.5370199,13.7759195,3
2178816951,666108.076,1523390.665,100.5365224,13.7751589,3
2178817119,666135.306,1523434.384,100.5367768,13.7755525,3
2178817222,666231.148,1523829.835,100.5376865,13.7791214,3
2180487932,662752.769,1522226.983,100.5054257,13.7648321,3
2180487960,662664.711,1522640.824,100.5046353,13.7685778,2
2188771050,669702.387,1518764.01,100.5694828,13.7331299,3
2188771051,669941.43,1518991.67,100.5717067,13.7351736,3
2193689918,667087.364,1520558.274,100.5454105,13.7495006,3
2193689927,666873.877,1520635.123,100.543441,13.7502076,2
2193689930,667131.21,1520732.935,100.5458263,13.7510768,2
2195688286,668245.541,1520085.354,100.5560916,13.7451586,3
2203755617,664444.068,1522556.644,100.5210852,13.7677158,2
2203755664,664391.922,1522620.326,100.5206067,13.7682944,2
2203821172,664369.896,1519945.304,100.5202469,13.7441162,3
2203821173,664363.942,1519946.339,100.5201919,13.7441259,3
2203821182,664407.046,1520262.355,100.5206089,13.7469799,2
2203821199,664413.055,1521435.025,100.5207329,13.7575793,2
2203821200,664858.802,1521508.615,100.5248591,13.758219,3
2203916480,665603.127,1517269.931,100.5314931,13.7198631,2
2203916488,666204.736,1517544.448,100.5370715,13.7223099,3
2207205402,669695.315,1520873.951,100.5695444,13.7522016,2
2207205404,669669.569,1520876.76,100.5693065,13.7522285,3
2207205410,669766.065,1520888.828,100.5701995,13.7523319,3
2207205413,669697.601,1520889.953,100.5695665,13.7523461,2
2207205414,669672.402,1520891.78,100.5693336,13.7523641,2
2207205446,669286.224,1520998.088,100.5657691,13.7533477,2
2207205476,669735.429,1521251.941,100.5699381,13.7556158,2
2210489905,669826.872,1516293.116,100.5704852,13.7107887,3
2210489911,669848.573,1516320.916,100.5706875,13.7110387,3
2210489922,669096.475,1516333.397,100.563735,13.7111956,2
2210489923,669084.645,1516336.164,100.5636258,13.7112213,2
2210489937,669112.888,1516369.47,100.5638889,13.7115207,2
2210489938,669100.577,1516373.03,100.5637753,13.7115536,2
2210489946,669799.649,1516399.336,100.5702399,13.7117504,3
2244514607,667099.725,1519922.223,100.5454871,13.7437507,2
2244530634,664508.62,1520791.186,100.521579,13.7517542,2
2244530635,664520.165,1520839.893,100.5216886,13.7521938,3
2310921410,665590.008,1520874.749,100.5315834,13.7524476,2
2310921413,665552.029,1520888.083,100.531233,13.7525703,3
2310921419,665528.671,1520896.387,100.5310175,13.7526467,3
2310921435,665545.494,1520943.081,100.5311758,13.7530678,3
2310921448,665551.98,1520975.759,100.5312377,13.7533628,2
2310921457,665475.584,1521003.551,100.5305329,13.7536184,2
2320260577,669033.714,1518968.59,100.5633125,13.7350183,2
2338163478,667423.973,1517614.115,100.5483483,13.7228692,2
2340085519,667753.904,1524175.024,100.5517894,13.7821531,3
2340085523,667666.544,1524059.501,100.5509746,13.781114,3
2340117520,666861.035,1522134.741,100.5434111,13.7637632,2
2340162868,666756.613,1522153.632,100.5424466,13.76394,4
2340162874,666928.305,1522059.488,100.5440287,13.7630791,2
