"person_id","household_id","primary_purpose","trip_num","outbound","trip_count","tour_id","purpose","destination_logsum","depart","trip_mode","mode_choice_logsum","trip_id","origin","destination"
25876,25876,"othdiscr",1,false,1,1060941,"home",,17,"WALK",3.670910350811717,8487533,21,7
25876,25876,"shopping",1,true,1,1060949,"shopping",,12,"WALK",-2.088108631550824,8487593,7,19
25876,25876,"shopping",1,false,1,1060949,"home",,12,"WALK",-2.060208225059689,8487597,19,7
25887,25887,"othdiscr",1,true,1,1061392,"othdiscr",,8,"WALK",14.41486620324309,8491137,7,7
25887,25887,"othdiscr",1,false,1,1061392,"home",,11,"WALK",14.41486620324309,8491141,7,7
25887,25887,"othdiscr",1,true,2,1061393,"escort",41.53227544207038,15,"WALK",12.768489011651688,8491145,7,6
25887,25887,"othdiscr",2,true,2,1061393,"othdiscr",,16,"WALK",4.636098564085295,8491146,6,5
25887,25887,"othdiscr",1,false,1,1061393,"home",,20,"WALK",4.680738581971334,8491149,5,7
25890,25890,"othdiscr",1,true,1,1061515,"othdiscr",,11,"WALK",-1.6082517682613087,8492121,7,1
25890,25890,"othdiscr",1,false,2,1061515,"eatout",25.178389264161027,11,"WALK",-3.114576096908356,8492125,1,9
25890,25890,"othdiscr",2,false,2,1061515,"home",,11,"WALK",10.345373606320853,8492126,9,7
25890,25890,"social",1,true,1,1061526,"social",,11,"WALK",2.8939558365829736,8492209,7,5
25890,25890,"social",1,false,2,1061526,"shopping",31.17379620465536,17,"WALK",2.9359559129949786,8492213,5,7
25890,25890,"social",2,false,2,1061526,"home",,17,"WALK",9.041583076769049,8492214,7,7
25894,25894,"univ",1,true,1,1061685,"univ",,8,"WALK_LOC",4.302468413203901,8493481,7,12
25894,25894,"univ",1,false,1,1061685,"home",,15,"WALK_LOC",4.372237866263424,8493485,12,7
25911,25911,"othmaint",1,true,1,1062379,"othmaint",,14,"WALK",0.23056064649885935,8499033,7,2
25911,25911,"othmaint",1,false,1,1062379,"home",,17,"BIKE",0.2654425287944451,8499037,2,7
25926,25926,"othmaint",1,true,1,1062994,"othmaint",,15,"WALK",-0.21827905212398982,8503953,7,2
25926,25926,"othmaint",1,false,1,1062994,"home",,15,"WALK",-0.1623001975986009,8503957,2,7
25926,25926,"shopping",1,true,1,1062999,"shopping",,11,"WALK_LOC",4.151443858593857,8503993,7,5
25926,25926,"shopping",1,false,2,1062999,"shopping",37.108914549704046,12,"WALK_LOC",3.9965267221796346,8503997,5,6
25926,25926,"shopping",2,false,2,1062999,"home",,12,"WALK_LOC",11.20863319835676,8503998,6,7
25954,25954,"othdiscr",1,true,1,1064139,"othdiscr",,17,"WALK_LOC",6.254295939253945,8513113,7,16
25954,25954,"othdiscr",1,false,1,1064139,"home",,20,"WALK",6.226058108319896,8513117,16,7
25954,25954,"univ",1,true,2,1064145,"escort",40.188069502557546,7,"WALK",10.903285959911441,8513161,7,25
25954,25954,"univ",2,true,2,1064145,"univ",,7,"WALK",3.740804643703294,8513162,25,12
25954,25954,"univ",1,false,1,1064145,"home",,17,"WALK_LOC",4.145304285268248,8513165,12,7
25959,25959,"univ",1,true,3,1064350,"othmaint",40.73088480864827,8,"WALK",12.563937365680994,8514801,7,7
25959,25959,"univ",2,true,3,1064350,"escort",40.375168251500035,9,"WALK",12.563937359427335,8514802,7,7
25959,25959,"univ",3,true,3,1064350,"univ",,9,"WALK_LOC",3.9273262349387363,8514803,7,12
25959,25959,"univ",1,false,1,1064350,"home",,15,"WALK",4.015498399453531,8514805,12,7
25963,25963,"escort",1,true,1,1064492,"escort",,17,"WALK_LOC",2.1446450921217344,8515937,7,20
25963,25963,"escort",1,false,1,1064492,"home",,17,"WALK_LOC",2.4864991283932403,8515941,20,7
25963,25963,"othmaint",1,true,1,1064511,"othmaint",,9,"SHARED3FREE",0.86768901206846,8516089,7,22
25963,25963,"othmaint",1,false,2,1064511,"shopping",25.23514317622821,12,"WALK",0.6805097369483027,8516093,22,6
25963,25963,"othmaint",2,false,2,1064511,"home",,12,"WALK",8.016387980439116,8516094,6,7
25963,25963,"othmaint",1,true,1,1064512,"othmaint",,14,"WALK",-0.21833547659162136,8516097,7,2
25963,25963,"othmaint",1,false,1,1064512,"home",,16,"WALK",-0.16235057410121848,8516101,2,7
25968,25968,"shopping",1,true,1,1064721,"shopping",,17,"WALK",5.511799471225077,8517769,7,16
25968,25968,"shopping",1,false,1,1064721,"home",,21,"WALK",5.79079947650741,8517773,16,7
25983,25983,"othmaint",1,true,1,1065331,"othmaint",,7,"WALK_LOC",6.5482655950317925,8522649,7,9
25983,25983,"othmaint",1,false,1,1065331,"home",,16,"WALK_LOC",6.5502712841375805,8522653,9,7
25986,25986,"shopping",1,true,1,1065459,"shopping",,16,"WALK",4.986259361569572,8523673,7,5
25986,25986,"shopping",1,false,1,1065459,"home",,16,"WALK",5.051644612452368,8523677,5,7
